title,form_type,accepted_at,accession,cik,company_name,ticker,primary_document,archive_base_url,source_url,amendment_flag
4 - Blankmeyer Andrea (0002124464) (Reporting),4,2026-08-19 22:14:18,0002124464-26-000010,0002124464,4 - Blankmeyer Andrea (0002124464) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2124464/000212446426000010,https://www.sec.gov/Archives/edgar/data/2124464/000212446426000010/0002124464-26-000010-index.htm,False
4 - Patel Rahul G. (0001785783) (Reporting),4,2026-08-19 22:13:11,0001785783-26-000012,0001785783,4 - Patel Rahul G. (0001785783) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1785783/000178578326000012,https://www.sec.gov/Archives/edgar/data/1785783/000178578326000012/0001785783-26-000012-index.htm,False
4 - Gajendra Sanjay (0001998179) (Reporting),4,2026-08-19 22:12:10,0001998179-26-000024,0001998179,4 - Gajendra Sanjay (0001998179) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1998179/000199817926000024,https://www.sec.gov/Archives/edgar/data/1998179/000199817926000024/0001998179-26-000024-index.htm,False
4 - Mazzara Philip (0001998163) (Reporting),4,2026-08-19 22:11:27,0001998163-26-000022,0001998163,4 - Mazzara Philip (0001998163) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1998163/000199816326000022,https://www.sec.gov/Archives/edgar/data/1998163/000199816326000022/0001998163-26-000022-index.htm,False
"4 - Zentalis Pharmaceuticals, Inc. (0001725160) (Issuer)",4,2026-08-19 22:11:25,0001213900-26-091823,0001725160,"4 - Zentalis Pharmaceuticals, Inc. (0001725160) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1725160/000121390026091823,https://www.sec.gov/Archives/edgar/data/1725160/000121390026091823/0001213900-26-091823-index.htm,False
4 - Rizvi Ken (0001846472) (Reporting),4,2026-08-19 22:11:06,0001846472-26-000015,0001846472,4 - Rizvi Ken (0001846472) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1846472/000184647226000015,https://www.sec.gov/Archives/edgar/data/1846472/000184647226000015/0001846472-26-000015-index.htm,False
4 - Srinivasan Padmanabhan T (0001761862) (Reporting),4,2026-08-19 22:10:07,0001761862-26-000011,0001761862,4 - Srinivasan Padmanabhan T (0001761862) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1761862/000176186226000011,https://www.sec.gov/Archives/edgar/data/1761862/000176186226000011/0001761862-26-000011-index.htm,False
4 - Mohan Jitendra (0001998053) (Reporting),4,2026-08-19 22:10:04,0001998053-26-000023,0001998053,4 - Mohan Jitendra (0001998053) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1998053/000199805326000023,https://www.sec.gov/Archives/edgar/data/1998053/000199805326000023/0001998053-26-000023-index.htm,False
4 - Ganesan Satish (0002014633) (Reporting),4,2026-08-19 22:09:07,0002014633-26-000018,0002014633,4 - Ganesan Satish (0002014633) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2014633/000201463326000018,https://www.sec.gov/Archives/edgar/data/2014633/000201463326000018/0002014633-26-000018-index.htm,False
4 - Fruhbeis Todd Michael (0002029470) (Reporting),4,2026-08-19 22:07:57,0002029470-26-000014,0002029470,4 - Fruhbeis Todd Michael (0002029470) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2029470/000202947026000014,https://www.sec.gov/Archives/edgar/data/2029470/000202947026000014/0002029470-26-000014-index.htm,False
4 - Gupta Vikram (0001984784) (Reporting),4,2026-08-19 22:07:08,0001984784-26-000026,0001984784,4 - Gupta Vikram (0001984784) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1984784/000198478426000026,https://www.sec.gov/Archives/edgar/data/1984784/000198478426000026/0001984784-26-000026-index.htm,False
4 - Parks Louis A. (0002029214) (Reporting),4,2026-08-19 22:06:55,0002029214-26-000011,0002029214,4 - Parks Louis A. (0002029214) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2029214/000202921426000011,https://www.sec.gov/Archives/edgar/data/2029214/000202921426000011/0002029214-26-000011-index.htm,False
